Site Name,Human Use,Tree ID,DBH (cm),Date,Time,Temp C,Humidity,In Center,Count Height,Egg Count,Caterpillar Count,Notes,Entered by
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,Yes,high,no entry,none,,
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,Yes,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,Yes,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,Yes,high,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,Yes,high,no entry,none,,
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,Yes,low,no entry,none,,
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,Yes,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,Yes,low,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,Yes,low,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,Yes,low,no entry,none,,
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,Yes,medium,no entry,none,,
H01,High,trembling aspen,no entry,16-Jun,9:35,22,70%,Yes,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,Yes,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,Yes,medium,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,Yes,medium,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,bitternut hickory,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
H01,High,dead,no entry,16-Jun,9:35,22,70%,No,high,no entry,none,,
