Site Name,Human Use,Count Height,Egg Count Index,Egg Count,Egg Count Index,Caterpillar Count,,Site Name,Human Use,EggsGround,EggsMidTree,EggsUpperTree,,,,
L01,Low,high,7.5,medium,7.5,none,,1,High,35,15,15,,,,
L01,Low,high,,no entry,,none,,2,High,0,0,27.5,,index (for initial graphing):,,
L01,Low,high,,no entry,,none,,3,High,100,85,0,,low count = 2.5,,
L01,Low,high,,no entry,,none,,4,High,0,0,2.5,,med count = 7.5,,
L01,Low,high,,no entry,,none,,5,High,20,57.5,57.5,,high count - 12.5,,
L01,Low,high,,no entry,,none,,6,High,40,47.5,97.5,,,,
L01,Low,high,,no entry,,low,,7,High,30,52.5,87.5,,,,
L01,Low,high,,no entry,,none,,8,High,0,17.5,10,,,,
L01,Low,high,,no entry,,none,,9,High,0,0,0,,,,
L01,Low,high,,no entry,,none,,10,High,65,17.5,90,,,,
L01,Low,high,,no entry,,none,,11,High,0,0,20,,,,
L01,Low,high,,no entry,,none,,12,High,0,75,32.5,,,,
L01,Low,high,,no entry,,none,,13,High,22.5,7.5,37.5,,,,
L01,Low,high,,no entry,,low,,14,High,12.5,0,7.5,,,,
L01,Low,high,,no entry,,medium,,15,High,0,22.5,17.5,,,,
L01,Low,high,,no entry,,none,,16,High,20,0,0,,,,
L01,Low,high,0,none,0,none,,17,High,0,2.5,0,,,,
L01,Low,high,0,none,0,none,,18,High,12.5,0,77.5,,,,
L01,Low,high,0,none,0,none,,19,Low,7.5,5,7.5,,,,
L01,Low,high,0,none,0,none,,20,Low,30,20,112.5,,,,
L01,Low,high,0,none,0,none,,21,Low,22.5,20,17.5,,,,
L01,Low,high,0,none,0,none,,22,Low,27.5,60,90,,,,
L01,Low,high,0,none,0,medium,,23,Low,85,55,105,,,,
L01,Low,high,0,none,0,low,,24,Low,5,7.5,30,,,,
L01,Low,high,0,none,0,low,,25,Low,32.5,22.5,50,,,,
L01,Low,high,0,none,0,none,,26,Low,10,7.5,20,,,,
L01,Low,high,0,none,0,low,,27,Low,25,7.5,15,,,,
L01,Low,high,0,none,0,medium,,28,Low,22.5,10,35,,,,
L01,Low,high,0,none,0,none,,29,Low,10,2.5,7.5,,,,
L01,Low,high,0,none,0,high,,30,Low,30,22.5,70,,,,
L01,Low,high,0,none,0,low,,31,Low,30,25,62.5,,,,
L01,Low,high,0,none,0,none,,32,Low,7.5,2.5,10,,,,
L01,Low,high,0,none,0,high,,33,Low,42.5,17.5,35,,,,
L01,Low,high,0,none,0,medium,,34,Low,45,20,32.5,,,,
L01,Low,low,2.5,low,2.5,none,,35,Low,15,32.5,62.5,,,,
L01,Low,low,2.5,low,2.5,low,,,,,,,,,,
L01,Low,low,2.5,low,2.5,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,low,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,low,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,medium,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,,no entry,,none,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,high,,,,,,,,,,
L01,Low,low,0,none,0,high,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,medium,,,,,,,,,,
L01,Low,low,0,none,0,high,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,none,,,,,,,,,,
L01,Low,low,0,none,0,high,,,,,,,,,,
L01,Low,low,0,none,0,low,,,,,,,,,,
L01,Low,medium,2.5,low,2.5,none,,,,,,,,,,
L01,Low,medium,2.5,low,2.5,low,,,,,,,,,,
L01,Low,medium,,no entry,,low,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,low,,,,,,,,,,
L01,Low,medium,,no entry,,low,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,low,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,high,,,,,,,,,,
L01,Low,medium,,no entry,,none,,,,,,,,,,
L01,Low,medium,,no entry,,low,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,low,,,,,,,,,,
L01,Low,medium,0,none,0,low,,,,,,,,,,
L01,Low,medium,0,none,0,none ,,,,,,,,,,
L01,Low,medium,0,none,0,medium,,,,,,,,,,
L01,Low,medium,0,none,0,high,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,high,,,,,,,,,,
L01,Low,medium,0,none,0,none,,,,,,,,,,
L01,Low,medium,0,none,0,low,,,,,,,,,,
L01,Low,medium,0,none,0,medium,,,,,,,,,,
L010,Low,high,12.5,high,12.5,none,,,,,,,,,,
L010,Low,high,2.5,low,2.5,none,,,,,,,,,,
L010,Low,high,2.5,low,2.5,none,,,,,,,,,,
L010,Low,high,2.5,low,2.5,none,,,,,,,,,,
L010,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L010,Low,high,7.5,medium,7.5,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,low,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,low,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,none,,,,,,,,,,
L010,Low,high,0,none,0,low,,,,,,,,,,
L010,Low,low,12.5,high,12.5,none,,,,,,,,,,
L010,Low,low,2.5,low,2.5,none,,,,,,,,,,
L010,Low,low,2.5,low,2.5,none,,,,,,,,,,
L010,Low,low,2.5,low,2.5,none,,,,,,,,,,
L010,Low,low,2.5,low,2.5,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,low,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
L010,Low,low,0,none,0,none,,,,,,,,,,
