"","site_name","human_use","count_height","egg_count_index","egg_count","egg_count_index_1","caterpillar_count","site_name_1","human_use_1","eggs_ground","eggs_mid_tree","eggs_upper_tree"
"1","L01","Low","high",7.5,"medium",7.5,"0",1,"High",35,15,15
"2","L01","Low","high",NA,NA,NA,"0",2,"High",0,0,27.5
"3","L01","Low","high",NA,NA,NA,"0",3,"High",100,85,0
"4","L01","Low","high",NA,NA,NA,"0",4,"High",0,0,2.5
"5","L01","Low","high",NA,NA,NA,"0",5,"High",20,57.5,57.5
"6","L01","Low","high",NA,NA,NA,"0",6,"High",40,47.5,97.5
"7","L01","Low","high",NA,NA,NA,"low",7,"High",30,52.5,87.5
"8","L01","Low","high",NA,NA,NA,"0",8,"High",0,17.5,10
"9","L01","Low","high",NA,NA,NA,"0",9,"High",0,0,0
"10","L01","Low","high",NA,NA,NA,"0",10,"High",65,17.5,90
"11","L01","Low","high",NA,NA,NA,"0",11,"High",0,0,20
"12","L01","Low","high",NA,NA,NA,"0",12,"High",0,75,32.5
"13","L01","Low","high",NA,NA,NA,"0",13,"High",22.5,7.5,37.5
"14","L01","Low","high",NA,NA,NA,"low",14,"High",12.5,0,7.5
"15","L01","Low","high",NA,NA,NA,"medium",15,"High",0,22.5,17.5
"16","L01","Low","high",NA,NA,NA,"0",16,"High",20,0,0
"17","L01","Low","high",0,"0",0,"0",17,"High",0,2.5,0
"18","L01","Low","high",0,"0",0,"0",18,"High",12.5,0,77.5
"19","L01","Low","high",0,"0",0,"0",19,"Low",7.5,5,7.5
"20","L01","Low","high",0,"0",0,"0",20,"Low",30,20,112.5
"21","L01","Low","high",0,"0",0,"0",21,"Low",22.5,20,17.5
"22","L01","Low","high",0,"0",0,"0",22,"Low",27.5,60,90
"23","L01","Low","high",0,"0",0,"medium",23,"Low",85,55,105
"24","L01","Low","high",0,"0",0,"low",24,"Low",5,7.5,30
"25","L01","Low","high",0,"0",0,"low",25,"Low",32.5,22.5,50
"26","L01","Low","high",0,"0",0,"0",26,"Low",10,7.5,20
"27","L01","Low","high",0,"0",0,"low",27,"Low",25,7.5,15
"28","L01","Low","high",0,"0",0,"medium",28,"Low",22.5,10,35
"29","L01","Low","high",0,"0",0,"0",29,"Low",10,2.5,7.5
"30","L01","Low","high",0,"0",0,"high",30,"Low",30,22.5,70
"31","L01","Low","high",0,"0",0,"low",31,"Low",30,25,62.5
"32","L01","Low","high",0,"0",0,"0",32,"Low",7.5,2.5,10
"33","L01","Low","high",0,"0",0,"high",33,"Low",42.5,17.5,35
"34","L01","Low","high",0,"0",0,"medium",34,"Low",45,20,32.5
"35","L01","Low","low",2.5,"low",2.5,"0",35,"Low",15,32.5,62.5
"36","L01","Low","low",2.5,"low",2.5,"low",NA,NA,NA,NA,NA
"37","L01","Low","low",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"38","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"39","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"40","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"41","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"42","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"43","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"44","L01","Low","low",NA,NA,NA,"low",NA,NA,NA,NA,NA
"45","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"46","L01","Low","low",NA,NA,NA,"low",NA,NA,NA,NA,NA
"47","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"48","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"49","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"50","L01","Low","low",NA,NA,NA,"medium",NA,NA,NA,NA,NA
"51","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"52","L01","Low","low",NA,NA,NA,"0",NA,NA,NA,NA,NA
"53","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"54","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"55","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"56","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"57","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"58","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"59","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"60","L01","Low","low",0,"0",0,"high",NA,NA,NA,NA,NA
"61","L01","Low","low",0,"0",0,"high",NA,NA,NA,NA,NA
"62","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"63","L01","Low","low",0,"0",0,"medium",NA,NA,NA,NA,NA
"64","L01","Low","low",0,"0",0,"high",NA,NA,NA,NA,NA
"65","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"66","L01","Low","low",0,"0",0,"0",NA,NA,NA,NA,NA
"67","L01","Low","low",0,"0",0,"high",NA,NA,NA,NA,NA
"68","L01","Low","low",0,"0",0,"low",NA,NA,NA,NA,NA
"69","L01","Low","medium",2.5,"low",2.5,"0",NA,NA,NA,NA,NA
"70","L01","Low","medium",2.5,"low",2.5,"low",NA,NA,NA,NA,NA
"71","L01","Low","medium",NA,NA,NA,"low",NA,NA,NA,NA,NA
"72","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
"73","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
"74","L01","Low","medium",NA,NA,NA,"low",NA,NA,NA,NA,NA
"75","L01","Low","medium",NA,NA,NA,"low",NA,NA,NA,NA,NA
"76","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
"77","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
"78","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
"79","L01","Low","medium",NA,NA,NA,"low",NA,NA,NA,NA,NA
"80","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
"81","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
"82","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
"83","L01","Low","medium",NA,NA,NA,"high",NA,NA,NA,NA,NA
"84","L01","Low","medium",NA,NA,NA,"0",NA,NA,NA,NA,NA
